Donor ID,Donor City,Donor State,Donor Is Teacher,Donor Zip,Latitude,Longitude,Is Synthetic,Data Source
bdd640fb06671ad11c80317fa3b1799d,San Francisco,California,Yes,114,37.774900,-122.419400,False,Original
8b9d2434e465e150bd9c66b3ad3c2d6d,San Jose,California,Yes,105,37.338200,-121.886300,False,Original
9a1de644815ef6d13b8faa1837f8a88b,San Francisco,California,No,728,37.774900,-122.419400,False,Original
72ff5d2a386ecbe06b65a6a48b8148f6,Houston,Texas,No,173,29.760400,-95.369800,False,Original
47229389571aa8766c307511b2b9437a,San Diego,California,Yes,399,32.715700,-117.161100,False,Original
580d7b71d8f564135be6128e18c26797,Houston,Texas,No,559,29.760400,-95.369800,False,Original
60e7a113ec1b8ca1f91e1d4c1ff49b78,San Diego,California,No,643,32.715700,-117.161100,False,Original
93cd59bf5c941cf0dc98d2c1e2acf72f,Los Angeles,California,Yes,243,34.052200,-118.243700,False,Original
146d3f31fc377a4c4a15544dc5e7ce8a,Miami,Florida,No,474,25.761700,-80.191800,False,Original
29a3b2e95d65a441d58842dea2bc372f,Brooklyn,New York,No,728,43.299400,-74.217900,False,Original
12476f57a5e5a5abaefcfad8efc89849,Dallas,Texas,No,260,32.776700,-96.797000,False,Original
451b4cf36123fdf77656af7229d4beef,Unknown,other,Yes,342,,,False,Original
0e51f30dc6a7ee39c4b032ccd7c524a5,Los Angeles,California,No,420,34.052200,-118.243700,False,Original
e9c349e03602f8ac10f1bc81448aaa9e,Greensboro,North Carolina,Yes,521,35.759600,-79.019300,False,Original
a491f0b2ea1fca65e27a984d654821d0,Bronx,New York,Yes,772,43.299400,-74.217900,False,Original
bf3c4c06434308bc89fa6a688fb5d27b,Fort Worth,Texas,No,234,32.755500,-97.330800,False,Original
827050a82369b584ff5e9ff0ff50bde4,New York,New York,No,166,40.712800,-74.006000,False,Original
ae340454cac5b68c28f49481a0a04dc4,New York,New York,No,620,40.712800,-74.006000,False,Original
405cacec877409a977d21e02ff01cf99,London,other,No,127,,,False,Original
c03987108976e334e2817efdae849217,Sacramento,California,No,310,38.581600,-121.494400,False,Original
00d4af5974273ca3287d06ca6f4cc69a,Paris,other,No,790,,,False,Original
1b3dbd5ce9a1fa6f81f76d1c2dbc2134,Orlando,Florida,No,529,28.538300,-81.379200,False,Original
5fb8d16c2720797d32ebd6899be578c7,Rockford,Illinois,No,954,40.633100,-89.398500,False,Original
99546eb400257ad1eb2263dd87c5421e,New York,New York,Yes,381,40.712800,-74.006000,False,Original
ce88cb2dd4e80839fc3e058be0f3eab0,New York,New York,Yes,590,40.712800,-74.006000,False,Original
bb5e4bcf15ed626914296c07f26b4776,New York,New York,No,555,40.712800,-74.006000,False,Original
a8e56e0c20de435d2031d750c40db9b4,Rochester,New York,Yes,550,43.156600,-77.608800,False,Original
f6e07cc06c52c49f9b49bd26df57c59a,Oakland,California,No,716,37.804400,-122.271200,False,Original
66245bfa4fcca39ab683d2e6337ea2df,Paris,other,No,539,,,False,Original
3985c3cf3f76be1d1efa21977394988f,Los Angeles,California,No,245,34.052200,-118.243700,False,Original
122c9a5601d7425638602ab696a402f2,Chicago,Illinois,Yes,937,41.878100,-87.629800,False,Original
1223b5135496f63cdc1110c1080aadfb,Austin,Texas,No,229,30.267200,-97.743100,False,Original
ef7ddc76b92da22b21df306f8a0b3c33,Tallahassee,Florida,No,813,27.664800,-81.515800,False,Original
30beb45f683514f2ceb81f9d7914c120,Sacramento,California,No,443,38.581600,-121.494400,False,Original
baa4b71add2467ac778eedb3693dffbc,Sacramento,California,No,110,38.581600,-121.494400,False,Original
56dc8907ba6c34ab6712303a0f844fef,Miami,Florida,Yes,204,25.761700,-80.191800,False,Original
6c006f6123e2fcb472d8567d894a05e4,San Jose,California,Yes,955,37.338200,-121.886300,False,Original
dc815fe7ceda8bbb71710434134c6c92,Miami,Florida,Yes,563,25.761700,-80.191800,False,Original
17e011b7f810238303c72ba8d605e770,Raleigh,North Carolina,Yes,507,35.759600,-79.019300,False,Original
66aa9385dd59ba7136b824817b3a4e3e,Raleigh,North Carolina,No,409,35.759600,-79.019300,False,Original
c8fe3ccdc8b8d9c6ed3049cf43e458fc,Buffalo,New York,No,758,42.886400,-78.878400,False,Original
a97065e18e46d534c88a618efed4057d,Evanston,Illinois,Yes,232,40.633100,-89.398500,False,Original
bc594585944528c00ef8c2d6f7fd5646,El Paso,Texas,No,061,31.761900,-106.485000,False,Original
eb5cf46780bacd647a0ecfea958ca9ba,Tampa,Florida,Yes,530,27.950600,-82.457200,False,Original
118a9d292f923996d9f195d014822f53,El Paso,Texas,No,423,31.761900,-106.485000,False,Original
91d63f78e3e9de99f10c718b1eb0e38a,Oakland,California,Yes,093,37.804400,-122.271200,False,Original
90b2b633956b8c0ca8499b926b5252e3,Austin,Texas,Yes,743,30.267200,-97.743100,False,Original
655238a643ff50113d1a85dd506e5a9a,Sacramento,California,No,333,38.581600,-121.494400,False,Original
12922f83ef8c485bc07a30f2edd4253b,Oakland,California,No,112,37.804400,-122.271200,False,Original
8181a8cc369147eb89a2688b12c136e0,San Diego,California,No,910,32.715700,-117.161100,False,Original
286218b848f4ef125e9953d23e896c64,Rochester,New York,No,636,43.156600,-77.608800,False,Original
a76afde6ce9e1a11fcbb4e59fbddcf7c,El Paso,Texas,No,316,31.761900,-106.485000,False,Original
f05db76e1a84a51aa9d3d7c7ee87905e,Orlando,Florida,Yes,119,28.538300,-81.379200,False,Original
45b89cd927cb6f2a8da01097be0f051b,San Francisco,California,No,218,37.774900,-122.419400,False,Original
439472e6da587e8aa25d6b29afffcfd2,Austin,Texas,No,876,30.267200,-97.743100,False,Original
6c6f7633a260772317a0df490d01280f,Miami,Florida,Yes,799,25.761700,-80.191800,False,Original
430f801dfad409e2a319dcb4217d65a0,San Jose,California,No,447,37.338200,-121.886300,False,Original
13432e611ca3c4480279b6a68f9797b0,Raleigh,North Carolina,No,864,35.759600,-79.019300,False,Original
25e979778d7248e2951f58d05e84f058,New York,New York,No,930,40.712800,-74.006000,False,Original
dc570131f8e1daa7cbceabdeeededb07,San Diego,California,Yes,265,32.715700,-117.161100,False,Original
c7b5b2bc5a8aaeca1a50aec3aabc25fa,San Antonio,Texas,No,777,29.424100,-98.493600,False,Original
3c9ad14cee0caeb5ecfedb992790cebd,Tampa,Florida,No,035,27.950600,-82.457200,False,Original
550a1b46ecab3301bc8f7d292dea9493,Naperville,Illinois,No,894,40.633100,-89.398500,False,Original
444d610b3f87e362cf8d446abc2cbb0d,Sacramento,California,Yes,903,38.581600,-121.494400,False,Original
38f16a81787f2425dbccc47709e9db0a,San Jose,California,No,850,37.338200,-121.886300,False,Original
391184973a43b2badf0f06cbcb9bc326,San Francisco,California,No,295,37.774900,-122.419400,False,Original
c5f8bc16f7860b5011c58ef0dd463c09,Sacramento,California,No,705,38.581600,-121.494400,False,Original
54c63cd889456f27d7fa2d8dfb2ca025,Charlotte,North Carolina,No,277,35.227100,-80.843100,False,Original
fbc9f87af668a61794a1875d2db69edb,Los Angeles,California,No,363,34.052200,-118.243700,False,Original
6fb78271504d281fc9535b63ba81edd9,Fort Worth,Texas,Yes,931,32.755500,-97.330800,False,Original
0b5cea6a41357e8c30a900ad939b462d,Chicago,Illinois,No,835,41.878100,-87.629800,False,Original
f0b5156bb82c9074afd5dea589d7fd6c,Evanston,Illinois,No,081,40.633100,-89.398500,False,Original
5487fd4febb7a385aa0b7b14f2e9702d,El Paso,Texas,No,747,31.761900,-106.485000,False,Original
4f2d479681d2c7de4ce1eb90e6697833,Aurora,Illinois,No,312,40.633100,-89.398500,False,Original
6ba25efe311c6eb62095eef68dedf9fb,Naperville,Illinois,No,934,40.633100,-89.398500,False,Original
4d0b0d1a91b0e1d99d9262af2c8d0e44,New York,New York,No,225,40.712800,-74.006000,False,Original
9b4e2c249479e1e6c9277d9b6e0d2648,Naperville,Illinois,No,701,40.633100,-89.398500,False,Original
cb323e357922bac282dc4c8e36b5229a,Raleigh,North Carolina,No,300,35.759600,-79.019300,False,Original
9e87e04ca2086977a9f2533683f4a9a9,Brooklyn,New York,No,240,43.299400,-74.217900,False,Original
0640be0f25b8fd4b32fa2de8ce7ae7f6,San Jose,California,No,796,37.338200,-121.886300,False,Original
e2d9de5d6a18ce4c7496276412a4def0,Dallas,Texas,No,403,32.776700,-96.797000,False,Original
25c73c443e75c3b4664fa6637e8f8095,Chicago,Illinois,No,891,41.878100,-87.629800,False,Original
c7468f591b494e15e2add909c521bf2d,Brooklyn,New York,No,722,43.299400,-74.217900,False,Original
8eb225790cdb1ca476ecbdd68498e113,Los Angeles,California,No,830,34.052200,-118.243700,False,Original
fce6850487f8424daae65fc176f2dbfe,Austin,Texas,No,922,30.267200,-97.743100,False,Original
b8225688d0a444329cd6c852714c7df4,Jacksonville,Florida,No,571,30.332200,-81.655700,False,Original
be6033f728be9288e5af6e39722764e6,Jacksonville,Florida,No,263,30.332200,-81.655700,False,Original
c40c5d9146fde062a33dc7afd701410d,Naperville,Illinois,No,291,40.633100,-89.398500,False,Original
49257af1b6aae05b13d5f2f7709b7d97,San Diego,California,No,563,32.715700,-117.161100,False,Original
3b33f3d8269cd696236c7b8714a0bccb,Brooklyn,New York,No,075,43.299400,-74.217900,False,Original
8ae8905b54b4a48268586eba6a34c854,New York,New York,Yes,440,40.712800,-74.006000,False,Original
95863a76c51155ffe7a37e8163b4c08b,Charlotte,North Carolina,No,793,35.227100,-80.843100,False,Original
018267c47a1b58066160a6b49360715f,Greensboro,North Carolina,No,883,35.759600,-79.019300,False,Original
6b44fa8dd5f25073f41402b1e4429ebb,El Paso,Texas,No,627,31.761900,-106.485000,False,Original
382c043f7cfc9b793875394ce5d6f6e6,San Jose,California,Yes,354,37.338200,-121.886300,False,Original
67814c1fcc530e36addc3e13ab3b4d37,Naperville,Illinois,No,647,40.633100,-89.398500,False,Original
64de82e6e82c7d7b06e745f988bc539c,El Paso,Texas,Yes,668,31.761900,-106.485000,False,Original
7631de9ddde9f86322bd33886db99102,San Diego,California,No,226,32.715700,-117.161100,False,Original
c2dff33556666f9f53ac2ab974672cd9,Orlando,Florida,No,861,28.538300,-81.379200,False,Original
